data,valor
07/09/2024,"$500,00"
07/10/2024,"$8.500,63"
07/11/2024,"$4.981,16"
07/12/2024,"$5.744,33"
07/01/2025,"$5.566,50"
07/02/2025,"$4.699,15"
07/03/2025,"$5.111,55"
07/04/2025,"$5.921,94"
07/05/2025,"$6.157,38"
07/06/2025,"$5.800,88"
07/07/2025,"$6.031,81"
07/08/2025,"$5.977,59"
07/09/2025,"$6.751,44"
07/10/2025,"$6.678,16"
07/11/2025,"$6.409,96"
12/11/2025,"$64.837,00"
12/12/2025,
12/01/2026,
12/02/2026,"$302,04"
12/03/2026,"$613,35"
12/04/2026,"$2.547,67"
12/05/2026,"$689,58"
12/06/2026,"$612,08"